"","X","X.1","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score","RCGY_predicted","bar_predicted"
"98",98,1170,201901,366396,2019,"Douglas Green","Cabernet Sauvignon Merlot",79,NA,750,105.33,"2009-04-01",NA,"Rott vin","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Douglas Green Bellingham","Fondberg",2011,NA,"12.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,3.75,NA
"99",99,1176,202308,755604,2023,"¿Qué Pasa?","",229,NA,3000,76.33,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Box","Vingtapp","Valle Central","Chile","WineWorld AB","WineWorld AB",2013,2013,"14%","FS",1,0,"50% cabernet sauvignon. 35% syrah och 15% carmenère.","7 ","6 ","9 ","50%.cabernet.sauvignon.35%.syrah.och.15%.carmenère","fruktig.smak.inslag.svarta.vinbär.mörka.körsbär.örter.vanilj ","Fruktig.doft.inslag.svarta.vinbär.mörka.körsbär.lakrits.vanilj",99,2.25,3.41666666666667
"100",100,1177,202401,755623,2024,"Fair Exchange","Cabernet Sauvignon Cabernet Franc Shiraz",79,NA,750,105.33,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Cape First Wines","Mondo Wine Sweden AB",2013,2013,"14%","FS",0,0,"40% cabernet sauvignon. 30% cabernet franc. 20% shiraz. 8% merlot och 2% malbec.","7 ","7 ","9 ","40%.cabernet.sauvignon.30%.cabernet.franc.20%.shiraz.merlot.och.malbec","fruktig.smak.inslag.svarta.vinbär.peppar.grön.paprika.rosmarin ","Fruktig.doft.inslag.mörka.peppar.choklad.grön.paprika",99,2.25,6.70833333333333
"101",101,1179,202508,340969,2025,"Bundustar","",215,NA,3000,71.67,"2008-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Box","Vridtapp","Western Cape","Sydafrika","Home of Origin Wine","Origin Nordic",2013,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,2.25,NA
"102",102,1180,202601,209319,2026,"Meerlust","Rubicon",225,NA,750,300,"2006-05-22",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Western Cape. Coastal Region. Stellenbosch","Sydafrika","Meerlust","Tryffelsvinet AB",2009,2009,"14.5%","FS",0,0,"71% cabernet sauvignon. 20% merlot och 9% cabernet franc.","10","10","9 ","71%.cabernet.sauvignon.20%.merlot.och.cabernet.franc","nyanserad.fruktig.smak.fatkaraktär.inslag.svarta.vinbär.plommon.tobak.kakao.vanilj.timjan ","Nyanserad.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.tobak.plommon.timjan.mörk.choklad",99,NA,5.20833333333333
"103",103,1187,202901,755151,2029,"Viñalba The Grand Reserve","Malbec Cabernet Sauvignon Merlot",129,NA,750,172,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Patagonien","Argentina","Viñalba","The Wine Team",2011,2011,"15%","FS",0,0,"55% malbec. 30% cabernet sauvignon och 15% merlot.","10","9 ","9 ","55%.malbec.30%.cabernet.sauvignon.och.15%.merlot","nyanserat.smakrikt.tydlig.rostad.fatkaraktär.inslag.björnbär.kaffe.choklad.peppar ","Nyanserad.fruktig.doft.tydlig.rostad.fatkaraktär.inslag.björnbär.kaffe.ceder.örter",99,3.75,5.70833333333333
"104",104,1188,203101,710900,2031,"Culemborg","Cinsault Shiraz Ruby Cabernet",64,NA,750,85.33,"2013-03-01",NA,"Rott vin. Mjukt & Barigt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Douglas Green Bellingham","Spendrups Bryggeri AB",2012,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"105",105,1190,203301,163862,2033,"Santa Ana","Reserve Malbec Shiraz",79,NA,750,105.33,"2005-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Cuyo. Mendoza","Argentina","Bodegas Santa Ana","Chris-Wine AB",NA,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,NA,NA
"106",106,1191,203401,391511,2034,"Kleine Zalze","Vineyard Selection Shiraz Mourvèdre Viognier",89,NA,750,118.67,"2009-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Kleine Zalze","Winemarket Nordic AB",2012,2012,"14.5%","FS",0,0,"80% shiraz. 15% mourvèdre och 5% viognier.","9 ","9 ","9 ","Shiraz.mourvèdre.och.viognier*","smakrikt.mycket.fruktigt.något.rökigt.fatkaraktär.inslag.björnbär.plommon.rosmarin.hallon.tobak.lakrits ","Mycket.fruktig.något.rökig.doft.fatkaraktär.inslag.björnbär.korinter.tobak.lakrits.rosmarin",99,6.25,7.36111111111111
"107",107,1192,203402,391514,2034,"Kleine Zalze","Vineyard Selection Shiraz Mourvèdre Viognier",49,NA,375,130.67,"2009-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Kleine Zalze","Winemarket Nordic AB",2012,2012,"14.5%","FS",0,0,"Shiraz. mourvèdre och viognier.*","9 ","9 ","9 ","Shiraz.mourvèdre.och.viognier*","smakrikt.mycket.fruktigt.något.rökigt.fatkaraktär.inslag.björnbär.plommon.rosmarin.hallon.tobak.lakrits ","Mycket.fruktig.något.rökig.doft.fatkaraktär.inslag.björnbär.korinter.tobak.lakrits.rosmarin",99,6.25,7.36111111111111
"108",108,1194,203601,776126,2036,"Duette","Cabernet Sauvignon",109,NA,750,145.33,"2013-12-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Maipo","Chile","Viña Indomita","Prime Wine Sweden AB",2012,2012,"14.5%","FS",0,0,"Cabernet sauvignon.","9 ","9 ","9 ","Cabernet.sauvignon","mycket.fruktig.smak.fatkaraktär.inslag.svarta.vinbär.björnbär.örter.choklad.vanilj ","Mycket.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.björnbär.örter.vanilj.choklad",99,6.25,7.36111111111111
"109",109,1195,203701,1360,2037,"Gran Feudo","Reserva",95,NA,750,126.67,"1993-09-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Navarra","Spanien","Chivite","Ward Wines AB",2008,2008,"13%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,NA,NA
"110",110,1196,203801,724708,2038,"Rib Shack","Red",79,NA,750,105.33,"2013-01-09",NA,"Rott vin","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Douglas Green Bellingham","Fondberg",2013,NA,"13%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,2.25,NA
"111",111,1197,203901,710890,2039,"Helderberg","Cabernet Sauvignon",99,NA,750,132,"2013-03-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Skruvkapsyl","Western Cape. Coastal Region. Stellenbosch","Sydafrika","Helderberg Winery","Prime Wine Sweden AB",2013,2013,"14.5%","FS",0,0,"Cabernet sauvignon.","9 ","9 ","9 ","Cabernet.sauvignon","nyanserad.fruktig.smak.fatkaraktär.inslag.svarta.vinbär.lagerblad.tobak.choklad.gräs ","Nyanserad.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.plommon.choklad.grön.paprika",99,2.25,7.36111111111111
"112",112,1202,204301,775919,2043,"Helderberg","Bushvine Shiraz",89,NA,750,118.67,"2013-12-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape. Coastal Region","Sydafrika","Helderberg Winery","Prime Wine Sweden AB",2013,2013,"14%","FS",0,0,"Shiraz.","8 ","8 ","9 ","Shiraz","fruktig.kryddig.smak.fatkaraktär.inslag.björnbär.rosmarin.lagerblad.vitpeppar.lakrits ","Fruktig.kryddig.doft.fatkaraktär.inslag.mörka.rosmarin.vitpeppar.lagerblad.choklad",99,2.25,6.08333333333333
"113",113,1203,204401,37279,2044,"Robertson","Shiraz",69,NA,750,92,"2003-02-03",NA,"Rott vin","Flaska","Skruvkapsyl","Western Cape. Breede River Valley. Robertson","Sydafrika","Robertson Winery","Prime Wine Sweden AB",2010,NA,"14%","BS",0,0,"Shiraz","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,2.25,NA
"114",114,1205,204501,775922,2045,"Biurko","Tempranillo",79,NA,750,105.33,"2013-12-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Rioja","Spanien","Bodegas Biurko Gorri SAL","Johan Lidby Vinhandel AB",2013,2013,"13%","FS",1,0,"Tempranillo.","7 ","7 ","9 ","Tempranillo","fruktig.ungdomlig.smak.inslag.röda.plommon.lakrits.örter ","Fruktig.ungdomlig.doft.inslag.röda.katrinplommon.lakrits.örter",99,2.25,6.70833333333333
"115",115,1206,204601,710922,2046,"Eikendal La Grâce","Pinotage Shiraz Cabernet Sauvignon",79,NA,750,105.33,"2013-03-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Eikendal Vineyards","AB Wicked Wine Sweden",2012,2012,"14%","FS",0,0,"Pinotage. cabernet sauvignon och shiraz.","8 ","8 ","9 ","Pinotage.cabernet.sauvignon.och.shiraz","mycket.fruktig.smak.inslag.svarta.vinbär.plommon.peppar.örter ","Mycket.fruktig.doft.inslag.plommon.svarta.vinbär.mörk.choklad.paprika",99,6.25,6.08333333333333
"116",116,1208,204701,800591,2047,"African Noontide","Shiraz Cabernet Sauvignon",67,NA,1000,67,"2014-03-01",NA,"Rott vin. Fruktigt & Smakrikt","Papp","Skruvkapsyl","Western Cape","Sydafrika","Overhex Wines International","Realfi Sweden AB",2014,2014,"14%","FS",0,0,"80% shiraz och 20% cabernet sauvignon.","7 ","7 ","9 ","80%.shiraz.och.20%.cabernet.sauvignon","fruktig.smak.inslag.svarta.vinbär.björnbär.örter.sötlakrits ","Fruktig.doft.inslag.mörka.peppar.lakrits",99,NA,6.70833333333333
"117",117,1209,204801,22910,2048,"Oude Kaap","Reserve Cabernet Sauvignon",69,NA,750,92,"2000-05-08",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Douglas Green Bellingham","Fondberg",2012,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"118",118,1215,205001,801064,2050,"Sandbar Estate","Grenache",79,NA,750,105.33,"2014-03-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Australia. McLaren Vale","Australien","Vinous Australis","Domaine Wines Sweden AB",2012,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"119",119,1218,205201,520029,2052,"Chill Out","Expedition",59,1,750,78.67,"2010-10-01",NA,"Rott vin. Mjukt & Barigt","PET-flaska","Skruvkapsyl","Western Cape","Sydafrika","Altia","Altia Sweden AB",2013,2013,"13.5%","FS",0,0,"","5 ","5 ","9 ","Ingen anged","fruktig.smak.inslag.skogsbär.lakrits.örter ","Fruktig.doft.inslag.mörka.örter.lakrits",99,2.25,3.41666666666667
"120",120,1220,205401,667952,2054,"Long Beach","Grenache Syrah Mourvèdre",99,NA,750,132,"2012-10-01",NA,"Rott vin","Flaska","Skruvkapsyl","Western Cape. Coastal Region","Sydafrika","Reyneke Winery","Prime Wine Sweden AB",2012,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"121",121,1221,205607,241991,2056,"Bellingham","Shiraz Viognier",150,NA,1500,100,"2007-04-02",NA,"Rott vin. Fruktigt & Smakrikt","Box","Vridtapp","Western Cape. Coastal Region. Paarl","Sydafrika","Douglas Green Bellingham","Fondberg",2012,2012,"14%","FS",0,0,"95% shiraz och 5% viognier.","8 ","7 ","9 ","95%.shiraz.och.viognier","mycket.fruktig.smak.fatkaraktär.inslag.mörka.plommon.viol.kanel.choklad ","Mycket.fruktig.doft.fatkaraktär.inslag.mörka.katrinplommon.mörk.choklad.lakrits.kokos",99,6.25,7.41666666666667
"122",122,1222,205702,430104,2057,"Tokolosh","Merlot",49,NA,375,130.67,"2010-03-24",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape. Coastal Region","Sydafrika","Tooverberg Boerdery","Kajsa Wines AB",2011,2011,"14.5%","FS",0,0,"Merlot.","8 ","8 ","9 ","Merlot","mycket.fruktig.aningen.rökig.smak.fatkaraktär.inslag.mörka.plommon.rosmarin.lakrits.vanilj ","Mycket.fruktig.aningen.rökig.doft.fatkaraktär.inslag.svarta.vinbär.plommon.mynta.lakrits.tobak",99,3.75,6.08333333333333
"123",123,1224,205901,722417,2059,"Xavier","Côtes du Rhône",119,NA,750,158.67,"2012-12-12",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rhonedalen. Côtes du Rhône","Frankrike","Xavier Vins","Vinovativa AB",2010,2010,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,2.25,NA
"124",124,1226,206101,801070,2061,"The Grand Western","Cabernet Sauvignon",89,NA,750,118.67,"2014-03-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Australia","Australien","Rosabrook Estate","The Wine Team",2013,2013,"14%","FS",0,0,"93% cabernet sauvignon. 6% merlot och 1% shiraz.","8 ","7 ","9 ","93%.cabernet.sauvignon.merlot.och.shiraz","mycket.fruktig.smak.fatkaraktär.inslag.svarta.vinbär.körsbär.lakrits.choklad.vanilj ","Mycket.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.lakrits.körsbär.vanilj.gräs",99,2.25,7.41666666666667
"125",125,1227,206201,364276,2062,"Robertson","Shiraz Mourvèdre Viognier",59,NA,750,78.67,"2009-04-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape. Breede River Valley. Robertson","Sydafrika","Robertson Winery","Prime Wine Sweden AB",2013,2013,"13.5%","FS",0,0,"80% shiraz. 17% mourvèdre och 3% viognier.","6 ","6 ","9 ","Shiraz.mourvèdre.och.viognier","fruktig.aningen.rökig.smak.inslag.skogsbär.örter.vanilj ","Fruktig.rökig.doft.inslag.skogsbär.peppar.vanilj",99,2.25,6.70833333333333
"126",126,1228,206202,364279,2062,"Robertson","Shiraz Mourvèdre Viognier",39,NA,375,104,"2009-04-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape. Breede River Valley. Robertson","Sydafrika","Robertson Winery","Prime Wine Sweden AB",2013,2013,"13.5%","FS",0,0,"Shiraz. mourvèdre och viognier.","6 ","6 ","9 ","Shiraz.mourvèdre.och.viognier","fruktig.aningen.rökig.smak.inslag.skogsbär.örter.vanilj ","Fruktig.rökig.doft.inslag.skogsbär.peppar.vanilj",99,2.25,6.70833333333333
"127",127,1229,206301,428009,2063,"Pulpit Rock","Cabernet Sauvignon Shiraz",89,1,750,118.67,"2010-03-24",NA,"Rott vin","PET-flaska","Skruvkapsyl","Western Cape","Sydafrika","Pulpit Rock Winery","Vinovum AB",2012,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"128",128,1231,206601,1388,2066,"Jacob's Creek","Shiraz Cabernet",75,NA,750,100,"1987-12-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Eastern Australia","Australien","Orlando","Pernod Ricard Sweden AB",2012,2012,"13.7%","FS",0,0,"Shiraz och cabernet sauvignon.","6 ","5 ","9 ","Shiraz.och.cabernet.sauvignon","fruktig.aningen.kryddig.smak.inslag.mörka.körsbär.lakrits ","Fruktig.aningen.kryddig.doft.inslag.mörka.körsbär.lakrits",99,6.25,6.70833333333333
"129",129,1232,206602,21532,2066,"Jacob's Creek","Shiraz Cabernet",45,NA,375,120,"1999-12-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Eastern Australia","Australien","Orlando","Pernod Ricard Sweden AB",2012,2012,"13.5%","FS",0,0,"Shiraz och cabernet sauvignon.","6 ","5 ","9 ","Shiraz.och.cabernet.sauvignon","fruktig.aningen.kryddig.smak.inslag.mörka.körsbär.lakrits ","Fruktig.aningen.kryddig.doft.inslag.mörka.körsbär.lakrits",99,6.25,6.70833333333333
"130",130,1233,206604,31207,2066,"Jacob's Creek","Shiraz Cabernet",29,NA,250,116,"2001-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Eastern Australia","Australien","Orlando","Pernod Ricard Sweden AB",2009,2009,"13.5%","FS",0,0,"Shiraz. cabernet sauvignon","6 ","5 ","9 ","Shiraz.och.cabernet.sauvignon","fruktig.aningen.kryddig.smak.inslag.mörka.körsbär.lakrits ","Fruktig.aningen.kryddig.doft.inslag.mörka.körsbär.lakrits",99,NA,6.70833333333333
"131",131,1234,206605,643525,2066,"Jacob's Creek","Shiraz Cabernet",26,NA,187,139.04,"2012-04-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Eastern Australia","Australien","Orlando","Pernod Ricard Sweden AB",2012,2012,"13.5%","FS",0,0,"Shiraz och cabernet sauvignon.","6 ","5 ","9 ","Shiraz.och.cabernet.sauvignon","fruktig.aningen.kryddig.smak.inslag.mörka.körsbär.lakrits ","Fruktig.aningen.kryddig.doft.inslag.mörka.körsbär.lakrits",99,6.25,6.70833333333333
"132",132,1235,206701,391523,2067,"Babylon's Peak","Shiraz Mourvédre Grenache",119,NA,750,158.67,"2009-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Western Cape","Sydafrika","Babylon's Peak Private Cellar","Vinovum AB",NA,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,NA,NA
"133",133,1238,207001,805455,2070,"Ramnista","Xinomavro",99,NA,750,132,"2014-03-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Makedonien. Naoussa","Grekland","Kir-Yianni Estate","Carovin AB",2010,2010,"13.5%","FS",0,0,"Xynomavro.","8 ","8 ","10","Xynomavro","nyanserad.kryddig.smak.fatkaraktär.inslag.körsbär.svarta.oliver.tranbär.lagerblad.kanel ","Nyanserad.kryddig.något.utvecklad.doft.fatkaraktär.inslag.körsbär.svarta.oliver.lagerblad",2,4.75,6.5
"134",134,1239,207101,874176,2071,"La Fleur de Haut-Bages Liberal","",279,NA,750,372,"2014-12-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Bordeaux. Haut-Médoc. Pauillac","Frankrike","Passion des Terroirs","Arvid Nordquist Vin och Sprithandel",2010,2010,"13%","FSN",0,0,"75% Cabernet sauvignon och 25% merlot.","10","10","10","75%.Cabernet.sauvignon.och.25%.merlot","nyanserad.fruktig.smak.fatkaraktär.inslag.svarta.vinbär.plommon.cederträ.kaffe.kakao ","Nyanserad.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.plommon.cederträ.kaffe.lagerblad",99,4,5.83333333333333
"135",135,1240,207208,326380,2072,"Umbala","",169,NA,3000,56.33,"2008-04-14",NA,"Rott vin. Fruktigt & Smakrikt","Box","Tryckknapp front","Western Cape","Sydafrika","Oenoforos AB","Oenoforos AB",2013,2013,"14%","FS",0,0,"Cabernet sauvignon. shiraz och pinotage.","7 ","6 ","9 ","Cabernet.sauvignon.shiraz.och.pinotage","fruktig.aningen.rökig.smak.inslag.svarta.vinbär.lakrits.vanilj ","Fruktig.aningen.rökig.doft.inslag.svarta.vinbär.vanilj.örter",99,2.25,3.41666666666667
"136",136,1241,207301,624472,2073,"Org de Rac","Shiraz Cabernet Sauvignon Merlot",79,NA,750,105.33,"2012-04-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape. Coastal Region. Swartland","Sydafrika","Org de Rac","Vinia Sweden AB",2014,2014,"14.5%","FS",1,0,"Shiraz. cabernet sauvignon och merlot.","8 ","7 ","9 ","Shiraz.cabernet.sauvignon.och.merlot","mycket.fruktig.smak.fatkaraktär.inslag.björnbär.svarta.vinbär.choklad.vanilj ","Mycket.fruktig.doft.fatkaraktär.inslag.björnbär.svarta.vinbär.choklad.kanel.mynta",99,NA,7.41666666666667
"137",137,1242,207401,643013,2074,"Texas Longhorn","Charcoal Shiraz",89,NA,750,118.67,"2012-02-06",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape. Coastal Region","Sydafrika","Fine Cape Wine","Stockholm WineLab AB",2013,2013,"14.5%","FS",0,0,"Shiraz.","8 ","8 ","9 ","Shiraz","mycket.fruktig.rökig.smak.rostad.fatkaraktär.inslag.björnbär.kaffe.russin.choklad.vanilj ","Mycket.fruktig.rökig.doft.rostad.fatkaraktär.inslag.björnbär.russin.kaffe.choklad",99,2.25,6.08333333333333
"138",138,1247,207701,1401,2077,"Copertino","Riserva",75,NA,750,100,"1992-06-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Apulien. Copertino","Italien","Cantina Sociale Copertino","Selezione Barbro Guaccero",2007,2007,"13%","FS",0,0,"Negroamaro 95%. malvasia nera. montepulciano","7 ","6 ","9 ","Negroamaro.95%.malvasia.nera.montepulciano","mogen.kryddig.något.bränd.smak.inslag.torkade.körsbär.nypon.salvia.läder ","Mogen.kryddig.något.bränd.doft.inslag.torkade.körsbär.korinter.salvia.läder",99,NA,3.41666666666667
"139",139,1248,207702,690355,2077,"Copertino","Rosso",39,NA,375,104,"2012-10-01",NA,"Rott vin","Flaska","Naturkork","Apulien. Copertino","Italien","Cantina Sociale Copertino","Selezione Barbro Guaccero",2007,NA,"13%","BS",0,0,"","7 ","6 ","9 ","Negroamaro.95%.malvasia.nera.montepulciano","mogen.kryddig.något.bränd.smak.inslag.torkade.körsbär.nypon.salvia.läder ","Mogen.kryddig.något.bränd.doft.inslag.torkade.körsbär.korinter.salvia.läder",99,NA,3.41666666666667
"140",140,1251,208001,776227,2080,"Killerby","Cabernet Sauvignon",120,NA,750,160,"2013-12-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Australia. Margaret River","Australien","Killerby Wines","Fondberg",2011,2011,"13.5%","FS",0,0,"Cabernet sauvignon.","9 ","9 ","9 ","Cabernet.sauvignon","fruktig.balanserad.smak.rostad.fatkaraktär.inslag.plommon.svarta.vinbär.choklad.peppar.gräs ","Fruktig.nyanserad.doft.tydlig.rostad.fatkaraktär.inslag.plommon.svarta.vinbär.mynta",99,3.75,7.36111111111111
"141",141,1252,208101,690979,2081,"Royal Claret","Crianza",79,NA,750,105.33,"2012-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Bodegas Franco-Españolas","Philipson Soderberg AB",2009,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,NA,NA
"142",142,1254,208301,776291,2083,"Bloodstone","Shiraz",119,NA,750,158.67,"2013-12-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Australia. McLaren Vale","Australien","Gemtree Vineyards","Winemarket Nordic AB",2013,2013,"15%","FS",1,0,"Shiraz.","11","9 ","9 ","Shiraz","generöst.fruktig.smak.rostad.fatkaraktär.inslag.plommon.björnbär.kaffe.peppar.vanilj ","Generöst.fruktig.doft.rostad.fatkaraktär.inslag.plommon.mintchoklad.björnbär.kaffe.vanilj",99,2.25,5.70833333333333
"143",143,1255,208401,755045,2084,"Santa Ana","Shiraz Bonarda",59,NA,750,78.67,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Cuyo. Mendoza","Argentina","Bodegas Santa Ana","Chris-Wine AB",2013,2013,"13.5%","FS",0,0,"70% shiraz och 30% bonarda.","7 ","7 ","9 ","70%.shiraz.och.30%.bonarda","ungdomlig.mycket.fruktig.smak.inslag.björnbär.blåbär.mynta.viol.lakrits ","Ungdomlig.fruktig.doft.inslag.björnbär.blåbär.viol.mynta.lakrits",99,2.25,6.70833333333333
"144",144,1258,208601,587579,2086,"The Chocolate Block","",249,NA,750,332,"2011-06-10",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Western Cape","Sydafrika","Boekenhoutskloof","Prime Wine Sweden AB",2012,2012,"14.5%","FS",0,0,"70% syrah. 13% cabernet sauvignon. 10% grenache. 6% cinsault och 1% viognier.","9 ","9 ","9 ","70%.syrah.13%.cabernet.sauvignon.10%.grenache.cinsault.och.viognier","fruktigt.smakritk.tydlig.karaktär.rostade.ekfat.inslag.plommon.kaffe.choklad ","Stor.fruktig.doft.tydlig.karaktär.rostade.ekfat.inslag.mörka.kaffe.ceder.choklad",99,6.25,7.36111111111111
"145",145,1261,209008,331988,2090,"Douglas Green","Cabernet Sauvignon Shiraz",219,NA,3000,73,"2008-10-01",NA,"Rott vin. Fruktigt & Smakrikt","Vin i pase","Vingtapp","","Sydafrika","Douglas Green Bellingham","Fondberg",NA,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,NA,NA
"146",146,1263,209201,707069,2092,"Soluna","Premium Cabernet Sauvignon",99,NA,750,132,"2013-03-01",NA,"Rott vin","Flaska","Plastkork/syntetkork","Cuyo. Mendoza","Argentina","Bodega Furlotti","Vinunic AB",2011,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,3.75,NA
"147",147,1265,209401,800578,2094,"The Apprentice","Shiraz Mourvedre Grenache",89,NA,750,118.67,"2014-03-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Home of Origin Wine","Sundance Wines AB",2014,2014,"14.5%","FS",0,0,"57% shiraz. 41% mourvèdre och 2% grenache.","8 ","9 ","9 ","57%.shiraz.41%.mourvèdre.och.grenache","fruktig.kryddig.smak.inslag.björnbär.hallon.lakrits.kaffe.vanilj ","Fruktig.kryddig.doft.inslag.björnbär.hallon.mynta.kaffe.vanilj",99,NA,6.75
"148",148,1266,209501,585316,2095,"Rhebokskloof","Cabernet Sauvignon Merlot Petit Verdot",99,NA,750,132,"2011-10-01",NA,"Rott vin","Flaska","Naturkork","Western Cape. Coastal Region. Paarl","Sydafrika","Rhebokskloof Estate","Gullberg by Stockwine AB",2010,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,2.25,NA
"149",149,1267,209601,776395,2096,"Santa Ana Homage","Cabernet Sauvignon Tannat",69,NA,750,92,"2013-12-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Cuyo. Mendoza","Argentina","Bodegas Santa Ana","Chris-Wine AB",2012,2012,"13.5%","FS",0,0,"Cabernet sauvignon och tannat.","8 ","8 ","9 ","Cabernet.sauvignon.och.tannat","mycket.fruktig.ungdomlig.smak.inslag.körsbär.svarta.vinbär.kakao.örter.vanilj ","Mycket.fruktig.ungdomlig.doft.inslag.körsbär.svarta.vinbär.örter.vanilj",99,6.25,6.08333333333333
